approach,model,target,metric_type,MSE,RMSE,MAE,MAPE,SMAPE,R2,LOG_R2,accuracy,precision_macro,recall_macro,f1_macro,source_file,notes
Direct Aggregate Window Forecasting,Prophet,memory_request_sum,,5738028.5142,,833.7316,260.3093,,0.0087,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,Random Forest,memory_request_sum,,5990770.5338,,1560.8885,1014.6005,,-0.035,,,,,,archive\forecasting_old_experiments\metrics_backup\all_model_metrics_summary.csv,"Classical benchmark using jobs aggregated into time windows. Used to compare SARIMA, Prophet, LSTM, and XGBoost on aggregate demand."
Direct Aggregate Window Forecasting,SARIMA,cpu_request_sum,,16889.8175,129.9608,67.8971,76.1442,157.8424,-0.0599,,,,,,archive\forecasting_old_experiments\metrics_backup\sarima_metrics_5min.csv,Individual metric file for a direct aggregate window model.
Direct Aggregate Window Forecasting,SARIMA,memory_request_sum,,448379.7445,669.6116,329.3273,78.8572,167.7462,-0.1151,,,,,,archive\forecasting_old_experiments\metrics_backup\sarima_metrics_5min.csv,Individual metric file for a direct aggregate window model.
Direct Aggregate Window Forecasting,SARIMA,duration_minutes_mean,,7189401.2487,2681.3059,690.4037,1324.713,169.3381,-0.0457,,,,,,archive\forecasting_old_experiments\metrics_backup\sarima_metrics_5min.csv,Individual metric file for a direct aggregate window model.
Direct Aggregate Window Forecasting,SARIMA,job_count,,4.2174,2.0536,1.408,44.5811,136.621,-0.028,,,,,,archive\forecasting_old_experiments\metrics_backup\sarima_metrics_5min.csv,Individual metric file for a direct aggregate window model.
Direct Aggregate Window Forecasting,SARIMA,batch_count,,2.4696,1.5715,1.1398,33.1444,146.8817,-0.0937,,,,,,archive\forecasting_old_experiments\metrics_backup\sarima_metrics_5min.csv,Individual metric file for a direct aggregate window model.
Direct Aggregate Window Forecasting,SARIMA,interactive_count,,0.9105,0.9542,0.3873,93.5638,195.0818,-0.0806,,,,,,archive\forecasting_old_experiments\metrics_backup\sarima_metrics_5min.csv,Individual metric file for a direct aggregate window model.
Direct Aggregate Window Forecasting,Prophet,cpu_request_sum,,18088.1445,134.4922,63.2888,84.3536,177.2248,-0.1351,,,,,,archive\forecasting_old_experiments\metrics_backup\prophet_metrics_5min.csv,Individual metric file for a direct aggregate window model.
Direct Aggregate Window Forecasting,Prophet,memory_request_sum,,473974.4503,688.458,315.3662,88.6011,184.7221,-0.1788,,,,,,archive\forecasting_old_experiments\metrics_backup\prophet_metrics_5min.csv,Individual metric file for a direct aggregate window model.
Direct Aggregate Window Forecasting,Prophet,duration_minutes_mean,,7275395.4307,2697.2941,665.8073,321.9296,179.6681,-0.0582,,,,,,archive\forecasting_old_experiments\metrics_backup\prophet_metrics_5min.csv,Individual metric file for a direct aggregate window model.
Direct Aggregate Window Forecasting,Prophet,job_count,,3.8424,1.9602,1.121,41.2065,139.9842,0.0634,,,,,,archive\forecasting_old_experiments\metrics_backup\prophet_metrics_5min.csv,Individual metric file for a direct aggregate window model.
Direct Aggregate Window Forecasting,Prophet,batch_count,,2.1773,1.4756,0.8918,52.2482,158.1187,0.0358,,,,,,archive\forecasting_old_experiments\metrics_backup\prophet_metrics_5min.csv,Individual metric file for a direct aggregate window model.
Direct Aggregate Window Forecasting,Prophet,interactive_count,,0.7923,0.8901,0.4602,75.2441,184.3054,0.0596,,,,,,archive\forecasting_old_experiments\metrics_backup\prophet_metrics_5min.csv,Individual metric file for a direct aggregate window model.
Direct Aggregate Window Forecasting,LSTM,cpu_request_sum,,12791.6538,113.1002,54.2864,88.5508,174.9733,0.1972,,,,,,archive\forecasting_old_experiments\metrics_backup\lstm_metrics_5min.csv,Individual metric file for a direct aggregate window model.
Direct Aggregate Window Forecasting,LSTM,memory_request_sum,,352192.3726,593.458,276.7929,89.9325,181.0187,0.1241,,,,,,archive\forecasting_old_experiments\metrics_backup\lstm_metrics_5min.csv,Individual metric file for a direct aggregate window model.
Direct Aggregate Window Forecasting,LSTM,duration_minutes_mean,,7231211.1439,2689.0911,652.9405,1050.5963,176.9829,-0.0518,,,,,,archive\forecasting_old_experiments\metrics_backup\lstm_metrics_5min.csv,Individual metric file for a direct aggregate window model.
Direct Aggregate Window Forecasting,LSTM,job_count,,2.2553,1.5018,0.8883,52.1822,144.8333,0.4503,,,,,,archive\forecasting_old_experiments\metrics_backup\lstm_metrics_5min.csv,Individual metric file for a direct aggregate window model.
Direct Aggregate Window Forecasting,LSTM,batch_count,,1.3621,1.1671,0.6933,57.1284,160.0931,0.3968,,,,,,archive\forecasting_old_experiments\metrics_backup\lstm_metrics_5min.csv,Individual metric file for a direct aggregate window model.
Direct Aggregate Window Forecasting,LSTM,interactive_count,,0.5674,0.7533,0.3658,76.3751,184.5079,0.3265,,,,,,archive\forecasting_old_experiments\metrics_backup\lstm_metrics_5min.csv,Individual metric file for a direct aggregate window model.
Direct Aggregate Window Forecasting,XGBoost,cpu_request_sum,,9375.2422,96.8258,49.1448,83.9938,174.8812,0.4116,,,,,,archive\forecasting_old_experiments\metrics_backup\xgboost_metrics_5min.csv,Individual metric file for a direct aggregate window model.
Direct Aggregate Window Forecasting,XGBoost,memory_request_sum,,271443.2436,521.0022,257.7398,89.2702,182.833,0.3249,,,,,,archive\forecasting_old_experiments\metrics_backup\xgboost_metrics_5min.csv,Individual metric file for a direct aggregate window model.
Direct Aggregate Window Forecasting,XGBoost,duration_minutes_mean,,7239139.5385,2690.5649,647.4827,861.12,176.8626,-0.053,,,,,,archive\forecasting_old_experiments\metrics_backup\xgboost_metrics_5min.csv,Individual metric file for a direct aggregate window model.
Direct Aggregate Window Forecasting,XGBoost,job_count,,1.8778,1.3703,0.8501,54.7402,146.659,0.5423,,,,,,archive\forecasting_old_experiments\metrics_backup\xgboost_metrics_5min.csv,Individual metric file for a direct aggregate window model.
Direct Aggregate Window Forecasting,XGBoost,batch_count,,1.3473,1.1607,0.6946,60.6777,162.5899,0.4034,,,,,,archive\forecasting_old_experiments\metrics_backup\xgboost_metrics_5min.csv,Individual metric file for a direct aggregate window model.
Direct Aggregate Window Forecasting,XGBoost,interactive_count,,0.5399,0.7348,0.351,71.4272,183.1326,0.3592,,,,,,archive\forecasting_old_experiments\metrics_backup\xgboost_metrics_5min.csv,Individual metric file for a direct aggregate window model.
Two-Stage Window Forecasting,TwoStage_XGBoost,cpu_request_sum,,8172.85,90.4038,57.4631,91.8545,133.721,0.4871,,,,,,archive\forecasting_old_experiments\metrics_backup\two_stage_metrics_5min.csv,"Window-level model that first predicts active windows, then predicts aggregate demand for active periods."
Two-Stage Window Forecasting,TwoStage_XGBoost,memory_request_sum,,199976.3857,447.1872,289.8499,89.8725,134.0225,0.5027,,,,,,archive\forecasting_old_experiments\metrics_backup\two_stage_metrics_5min.csv,"Window-level model that first predicts active windows, then predicts aggregate demand for active periods."
Two-Stage Window Forecasting,TwoStage_XGBoost,duration_minutes_mean,,6944602.8417,2635.2614,760.2853,4841.4639,162.8431,-0.0101,,,,,,archive\forecasting_old_experiments\metrics_backup\two_stage_metrics_5min.csv,"Window-level model that first predicts active windows, then predicts aggregate demand for active periods."
Two-Stage Window Forecasting,TwoStage_XGBoost,job_count,,2.4788,1.5744,1.1226,61.68,130.9311,0.3958,,,,,,archive\forecasting_old_experiments\metrics_backup\two_stage_metrics_5min.csv,"Window-level model that first predicts active windows, then predicts aggregate demand for active periods."
Two-Stage Window Forecasting,TwoStage_XGBoost,batch_count,,1.7225,1.3124,0.8668,44.1152,142.7443,0.2372,,,,,,archive\forecasting_old_experiments\metrics_backup\two_stage_metrics_5min.csv,"Window-level model that first predicts active windows, then predicts aggregate demand for active periods."
Two-Stage Window Forecasting,TwoStage_XGBoost,interactive_count,,0.4918,0.7013,0.3843,57.383,169.1021,0.4162,,,,,,archive\forecasting_old_experiments\metrics_backup\two_stage_metrics_5min.csv,"Window-level model that first predicts active windows, then predicts aggregate demand for active periods."
Two-Stage Job-Level XGBoost,TwoStage_JobLevel_XGBoost,cpu_request_sum,,11871.9268,108.9584,78.0593,157.9722,135.6232,0.255,,,,,,archive\forecasting_old_experiments\metrics_backup\two_stage_job_level_metrics_5min.csv,Hybrid approach using active windows and job-level XGBoost generation. Used before shifting to the final historical profile approach.
Two-Stage Job-Level XGBoost,TwoStage_JobLevel_XGBoost,memory_request_sum,,284742.9676,533.6131,383.7469,148.8118,135.3035,0.2918,,,,,,archive\forecasting_old_experiments\metrics_backup\two_stage_job_level_metrics_5min.csv,Hybrid approach using active windows and job-level XGBoost generation. Used before shifting to the final historical profile approach.
Two-Stage Job-Level XGBoost,TwoStage_JobLevel_XGBoost,duration_minutes_mean,,7298958.3104,2701.6584,660.5978,166.3683,184.4688,-0.0617,,,,,,archive\forecasting_old_experiments\metrics_backup\two_stage_job_level_metrics_5min.csv,Hybrid approach using active windows and job-level XGBoost generation. Used before shifting to the final historical profile approach.
Two-Stage Job-Level XGBoost,TwoStage_JobLevel_XGBoost,job_count,,2.5208,1.5877,1.0972,62.2693,129.4148,0.3855,,,,,,archive\forecasting_old_experiments\metrics_backup\two_stage_job_level_metrics_5min.csv,Hybrid approach using active windows and job-level XGBoost generation. Used before shifting to the final historical profile approach.
Two-Stage Job-Level XGBoost,TwoStage_JobLevel_XGBoost,batch_count,,2.75,1.6583,0.7014,100.0,200.0,-0.2179,,,,,,archive\forecasting_old_experiments\metrics_backup\two_stage_job_level_metrics_5min.csv,Hybrid approach using active windows and job-level XGBoost generation. Used before shifting to the final historical profile approach.
