job_id,arrival_offset_seconds,job_type,required_cpu,required_memory,expected_duration_seconds,role,app_name
pred_000277,6648.0,interactive,64.0,320.0,837.93,cn,app_87
pred_000278,6672.0,interactive,64.0,320.0,818.75,cn,app_87
pred_000279,6696.0,interactive,64.0,320.0,835.96,cn,app_87
pred_000280,6720.0,interactive,64.0,320.0,849.07,cn,app_87
pred_000281,6744.0,interactive,64.0,320.0,840.97,cn,app_87
pred_000282,6768.0,interactive,64.0,320.0,855.34,cn,app_87
pred_000283,6792.0,interactive,64.0,320.0,835.76,cn,app_87
pred_000284,6816.0,interactive,64.0,320.0,853.33,cn,app_87
pred_000285,6840.0,interactive,64.0,320.0,847.62,cn,app_87
pred_000286,6864.0,interactive,64.0,320.0,839.54,cn,app_87
pred_000287,6888.0,interactive,64.0,320.0,853.88,cn,app_87
pred_000288,6912.0,interactive,64.0,320.0,834.33,cn,app_87
pred_000289,6936.0,interactive,64.0,320.0,851.87,cn,app_87
pred_000290,6960.0,interactive,64.0,320.0,847.62,cn,app_87
pred_000291,6984.0,interactive,64.0,320.0,839.54,cn,app_87
pred_000292,7008.0,interactive,64.0,320.0,853.88,cn,app_87
pred_000293,7032.0,interactive,64.0,320.0,834.33,cn,app_87
pred_000294,7056.0,interactive,64.0,320.0,851.87,cn,app_87
pred_000295,7080.0,interactive,64.0,320.0,842.12,cn,app_87
pred_000296,7104.0,interactive,64.0,320.0,827.0,cn,app_87
pred_000297,7128.0,interactive,64.0,320.0,841.13,cn,app_87
pred_000298,7152.0,interactive,64.0,320.0,821.87,cn,app_87
pred_000299,7176.0,interactive,64.0,320.0,839.15,cn,app_87
pred_000300,7200.0,interactive,64.0,320.0,834.97,cn,app_87
pred_000301,7224.0,interactive,64.0,320.0,827.0,cn,app_87
pred_000302,7248.0,interactive,64.0,320.0,841.13,cn,app_87
pred_000303,7272.0,interactive,64.0,320.0,821.87,cn,app_87
pred_000304,7296.0,interactive,64.0,320.0,839.15,cn,app_87
pred_000305,7320.0,interactive,64.0,320.0,834.55,cn,app_87
pred_000306,7344.0,interactive,64.0,320.0,826.59,cn,app_87
pred_000307,7368.0,interactive,64.0,320.0,838.19,cn,app_87
pred_000308,7392.0,interactive,64.0,320.0,820.24,cn,app_87
pred_000309,7416.0,interactive,64.0,320.0,837.48,cn,app_87
pred_000310,7440.0,interactive,64.0,320.0,833.31,cn,app_87
pred_000311,7464.0,interactive,64.0,320.0,825.36,cn,app_87
pred_000312,7488.0,interactive,64.0,320.0,839.46,cn,app_87
pred_000313,7512.0,interactive,64.0,320.0,820.24,cn,app_87
pred_000314,7536.0,interactive,64.0,320.0,832.61,cn,app_87
pred_000315,7560.0,interactive,64.0,320.0,833.31,cn,app_87
pred_000316,7584.0,interactive,64.0,320.0,825.36,cn,app_87
